"stimulus","response","trial_type","subject_id"
"A white swan swimming through a lake next to a boat.","[""0"",""9"",""9"",""7"",""9"",""0"",""9"",""0"",""0"",""0"",""9""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A person wearing a helmet and goggles riding a snowboard down the slopes.","[""0"",""9"",""6"",""0"",""-6"",""0"",""10"",""9"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A bathroom with curtains that have floral decor on them.","[""0"",""10"",""0"",""10"",""0"",""0"",""6"",""9"",""0"",""0""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A patio table with two dinner plates of food and two bowls of salad.","[""0"",""9"",""10"",""0"",""8"",""10"",""10"",""0"",""10"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A green stop light with a tall building lighted up in the background at night.","[""0"",""10"",""10"",""10"",""0"",""0"",""10"",""10"",""10"",""10"",""5"",""0"",""10"",""0"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A fruit smoothie glass on a plate with two strawberries for garnish.","[""0"",""10"",""10"",""10"",""7"",""8"",""10"",""0"",""10"",""10"",""1"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A baseball player is waiting for the pitch while standing in the batters box.","[""0"",""10"",""10"",""0"",""10"",""0"",""0"",""3"",""0"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A cup of coffee with a plate of banana slices on bread.","[""0"",""9"",""0"",""8"",""5"",""3"",""10"",""1"",""10"",""9"",""0"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A large crowd of people riding horses walks along a trail.","[""0"",""4"",""3"",""0"",""10"",""10"",""10"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A colorful truck with a full load of sticks and twigs.","[""0"",""5"",""10"",""4"",""0"",""10"",""10"",""0"",""10"",""3"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A car sitting in the middle of the road near a construction vehicle.","[""0"",""10"",""10"",""3"",""0"",""7"",""0"",""0"",""10"",""6"",""0"",""10"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
"A black and white picture of people walking in the rain under umbrellas.","[""0"",""10"",""4"",""10"",""10"",""0"",""10"",""-3"",""6"",""0"",""10"",""8"",""10""]","html-vertical-slider-response","5c05c77f24419e0001a3094f"
