"stimulus","response","trial_type","subject_id"
"A white swan swimming through a lake next to a boat.","[""-9"",""9"",""9"",""10"",""7"",""-9"",""9"",""9"",""9"",""-10"",""10""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A person wearing a helmet and goggles riding a snowboard down the slopes.","[""-10"",""9"",""-1"",""-4"",""8"",""0"",""9"",""10"",""-10"",""10"",""-9"",""-9"",""10""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A bathroom with curtains that have floral decor on them.","[""-2"",""8"",""-1"",""7"",""-4"",""-1"",""7"",""5"",""-3"",""-2""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A patio table with two dinner plates of food and two bowls of salad.","[""-1"",""6"",""6"",""1"",""1"",""-2"",""7"",""0"",""3"",""-2"",""5"",""7"",""0"",""8""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A green stop light with a tall building lighted up in the background at night.","[""0"",""3"",""0"",""6"",""1"",""-2"",""6"",""7"",""6"",""0"",""0"",""0"",""6"",""-2"",""7""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A fruit smoothie glass on a plate with two strawberries for garnish.","[""1"",""6"",""7"",""7"",""0"",""0"",""7"",""0"",""6"",""7"",""-1"",""2""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A baseball player is waiting for the pitch while standing in the batters box.","[""1"",""8"",""8"",""0"",""4"",""2"",""3"",""8"",""0"",""7"",""2"",""3"",""9"",""9""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A cup of coffee with a plate of banana slices on bread.","[""0"",""7"",""1"",""7"",""1"",""1"",""9"",""0"",""6"",""7"",""4"",""6""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A large crowd of people riding horses walks along a trail.","[""0"",""7"",""6"",""0"",""6"",""7"",""6"",""6"",""4"",""0"",""6""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A colorful truck with a full load of sticks and twigs.","[""0"",""6"",""6"",""0"",""0"",""5"",""8"",""0"",""7"",""0"",""7""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A car sitting in the middle of the road near a construction vehicle.","[""0"",""9"",""8"",""0"",""0"",""8"",""0"",""4"",""9"",""5"",""0"",""9"",""8""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
"A black and white picture of people walking in the rain under umbrellas.","[""0"",""7"",""2"",""7"",""0"",""0"",""6"",""7"",""0"",""0"",""6"",""7"",""7""]","html-vertical-slider-response","5c3fc3d9c21f060001c48069"
