"stimulus","response","trial_type","subject_id"
"A white swan swimming through a lake next to a boat.","[""0"",""3"",""9"",""4"",""-1"",""0"",""7"",""-1"",""-2"",""0"",""7""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A person wearing a helmet and goggles riding a snowboard down the slopes.","[""0"",""10"",""4"",""0"",""3"",""0"",""7"",""4"",""0"",""10"",""4"",""0"",""9""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A bathroom with curtains that have floral decor on them.","[""0"",""10"",""1"",""5"",""0"",""1"",""5"",""3"",""1"",""0""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A patio table with two dinner plates of food and two bowls of salad.","[""1"",""4"",""10"",""1"",""3"",""5"",""10"",""1"",""10"",""0"",""3"",""10"",""0"",""6""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A green stop light with a tall building lighted up in the background at night.","[""0"",""9"",""-1"",""10"",""0"",""0"",""1"",""10"",""6"",""1"",""0"",""0"",""4"",""0"",""8""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A fruit smoothie glass on a plate with two strawberries for garnish.","[""0"",""10"",""10"",""10"",""0"",""0"",""6"",""0"",""4"",""10"",""0"",""7""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A baseball player is waiting for the pitch while standing in the batters box.","[""0"",""10"",""9"",""0"",""3"",""0"",""0"",""4"",""0"",""6"",""0"",""0"",""3"",""0""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A cup of coffee with a plate of banana slices on bread.","[""0"",""10"",""0"",""9"",""0"",""0"",""10"",""0"",""8"",""4"",""0"",""8""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A large crowd of people riding horses walks along a trail.","[""0"",""2"",""9"",""0"",""10"",""7"",""10"",""-1"",""0"",""0"",""4""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A colorful truck with a full load of sticks and twigs.","[""0"",""3"",""10"",""0"",""0"",""5"",""6"",""0"",""3"",""0"",""4""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A car sitting in the middle of the road near a construction vehicle.","[""0"",""10"",""-4"",""0"",""0"",""2"",""0"",""0"",""10"",""2"",""0"",""6"",""10""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
"A black and white picture of people walking in the rain under umbrellas.","[""0"",""5"",""0"",""5"",""10"",""0"",""9"",""9"",""0"",""0"",""6"",""3"",""10""]","html-vertical-slider-response","63f87a8c4655faf50e6c445b"
