"stimulus","response","trial_type","subject_id"
"A white swan swimming through a lake next to a boat.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A person wearing a helmet and goggles riding a snowboard down the slopes.","[""10"",""10"",""10"",""-10"",""-10"",""-10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A bathroom with curtains that have floral decor on them.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A patio table with two dinner plates of food and two bowls of salad.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A green stop light with a tall building lighted up in the background at night.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A fruit smoothie glass on a plate with two strawberries for garnish.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A baseball player is waiting for the pitch while standing in the batters box.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A cup of coffee with a plate of banana slices on bread.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A large crowd of people riding horses walks along a trail.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""-10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A colorful truck with a full load of sticks and twigs.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A car sitting in the middle of the road near a construction vehicle.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A black and white picture of people walking in the rain under umbrellas.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
