"stimulus","response","trial_type","subject_id"
"A light blue bicycle chained to a pole on the sidewalk in front of a red building.","[""0"",""10"",""10"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A young boy is standing against a wall eating an apple.","[""0"",""5"",""10"",""0"",""0"",""0"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A young girl looking at a huge pizza with surprise.","[""0"",""5"",""10"",""5"",""0"",""0"",""0"",""10"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A white frosted cake sitting in front of some white flowers.","[""0"",""10"",""10"",""10"",""0"",""0"",""0"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A tray full of breakfast foods and drinks on a bed.","[""0"",""10"",""0"",""0"",""10"",""10"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A dog laying on its side with a remote control under its paw.","[""0"",""10"",""10"",""0"",""0"",""0"",""0"",""0"",""10"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"Two men holding big wooden sticks with a lot of elephants in the background.","[""0"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A black cat sitting inside of a sink in the bathroom.","[""0"",""10"",""10"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A row of surfboards sticking out of the sand sitting next to each other.","[""0"",""0"",""0"",""10"",""0"",""0"",""1"",""0"",""10"",""0"",""0"",""0"",""0"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man covering his eyes while standing next to multiple boxes filled with bananas.","[""0"",""10"",""5"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"There is an indoor toilet underneath a sign that says please flush.","[""0"",""0"",""0"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A table topped with a cake covered in berries next to a plate of sandwiches.","[""0"",""10"",""0"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""0"",""0"",""10"",""0"",""-10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
