"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""0"",""10"",""8"",""3"",""0"",""10"",""10"",""7"",""0"",""0"",""0"",""0"",""0"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man in a field of wild flowers holding an orange bat.","[""2"",""10"",""0"",""2"",""10"",""0"",""7"",""10"",""5"",""1"",""2"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A dark colored cat looking at a laptop screen.","[""1"",""2"",""3"",""10"",""7"",""0"",""2"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A sign mounted to a pole that reads "" No Stops "".","[""1"",""10"",""10"",""2"",""2"",""10"",""1"",""1"",""0"",""10"",""10"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A blue trash removal truck and two vehicles behind it.","[""1"",""10"",""10"",""4"",""10"",""0"",""5"",""10"",""6"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"The red boat is anchored on the shore of the lake in front of the houses.","[""0"",""8"",""10"",""0"",""8"",""5"",""0"",""10"",""0"",""0"",""10"",""0"",""2"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A polar bear pokes his head and one paw out of the water.","[""0"",""5"",""10"",""2"",""0"",""10"",""0"",""2"",""10"",""5"",""0"",""1"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A large group of people watch as a skater does his tricks.","[""0"",""3"",""6"",""0"",""10"",""10"",""0"",""1"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A baseball player hitting the ball during a baseball game.","[""1"",""10"",""10"",""10"",""1"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""1"",""10"",""0"",""0"",""0"",""10"",""5"",""0"",""8"",""10"",""0"",""0"",""1"",""3"",""10"",""10"",""3"",""1"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"Two young women are eating hot dogs while walking down the sidewalk.","[""4"",""5"",""10"",""0"",""10"",""5"",""5"",""0"",""7"",""2"",""0"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"Two silver cars parked beside each other in parking spots.","[""4"",""7"",""10"",""10"",""0"",""0"",""0"",""0"",""7"",""7""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
