"stimulus","response","trial_type","subject_id"
"A light blue bicycle chained to a pole on the sidewalk in front of a red building.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A young boy is standing against a wall eating an apple.","[""10"",""10"",""10"",""10"",""10"",""-10"",""-10"",""-10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A young girl looking at a huge pizza with surprise.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A white frosted cake sitting in front of some white flowers.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A tray full of breakfast foods and drinks on a bed.","[""10"",""10"",""0"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""1""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A dog laying on its side with a remote control under its paw.","[""10"",""10"",""10"",""1"",""1"",""1"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"Two men holding big wooden sticks with a lot of elephants in the background.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""0"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A black cat sitting inside of a sink in the bathroom.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""0"",""0"",""0""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A row of surfboards sticking out of the sand sitting next to each other.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A man covering his eyes while standing next to multiple boxes filled with bananas.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"There is an indoor toilet underneath a sign that says please flush.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A table topped with a cake covered in berries next to a plate of sandwiches.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
