"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""-9"",""10"",""10"",""10"",""-9"",""10"",""-7"",""-6"",""-9"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"The antique bed has elaborate wood decoration on the frame.","[""-7"",""10"",""10"",""-9"",""10"",""10"",""10"",""-7"",""-7"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""-10"",""10"",""-10"",""9"",""-8"",""-9"",""10"",""-10"",""10"",""-10"",""-3"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A woman standing next to a young man near a pile of fruit.","[""-9"",""10"",""10"",""10"",""0"",""-10"",""8"",""10"",""2"",""-6"",""10"",""-7"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""-5"",""10"",""-5"",""-5"",""10"",""-8"",""10"",""10"",""-9"",""10"",""10"",""10"",""-10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A person holding a book with a bird sitting on the book.","[""-6"",""10"",""10"",""-9"",""10"",""3"",""-1"",""10"",""10"",""3"",""-1"",""9""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A giraffe is peeking around the side of a wall at the camera.","[""-1"",""10"",""-2"",""10"",""5"",""-2"",""10"",""-2"",""-2"",""10"",""2"",""0"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""-3"",""10"",""10"",""-4"",""10"",""10"",""-2"",""-1"",""10"",""9"",""0"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A white cake covered in flowers and white frosting.","[""-1"",""10"",""10"",""3"",""1"",""10"",""0"",""5"",""5""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A man in shorts is taking a picture next to a red light.","[""-3"",""10"",""0"",""10"",""-1"",""2"",""0"",""10"",""0"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""0"",""10"",""0"",""10"",""10"",""10"",""0"",""10"",""10"",""10"",""1"",""10"",""0"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""0"",""10"",""10"",""10"",""-3"",""-3"",""-2"",""10"",""-1"",""10"",""9"",""0"",""0"",""10"",""1"",""-1""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
