"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""10"",""10"",""10"",""3"",""3"",""7"",""2"",""2"",""7""]","html-vertical-slider-response","61083e2156133580b022daac"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""0"",""6"",""6"",""10"",""0"",""0"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""6"",""0"",""0"",""0"",""5"",""9"",""0"",""0""]","html-vertical-slider-response","61083e2156133580b022daac"
"A man with glasses sitting in front of a laptop computer.","[""0"",""10"",""6"",""10"",""10"",""2"",""5"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A young man is having some wine and something to eat.","[""0"",""4"",""10"",""0"",""4"",""3"",""10"",""0"",""7"",""0"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A man wears a suit with a blue shirt and a multicolored tie.","[""1"",""10"",""10"",""1"",""10"",""3"",""0"",""10"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A clock between two bronze flamingo statues on a black box.","[""0"",""10"",""6"",""10"",""10"",""10"",""10"",""5"",""0"",""10"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""-3"",""10"",""0"",""5"",""0"",""10"",""2"",""1"",""10"",""0"",""10"",""10"",""10"",""2"",""6""]","html-vertical-slider-response","61083e2156133580b022daac"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""10"",""10"",""5"",""10"",""10"",""0"",""10"",""10"",""10"",""5"",""8"",""0"",""4"",""4"",""0"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A man walking with a drink and a bag while listening to earbud headphones.","[""0"",""9"",""6"",""7"",""0"",""10"",""0"",""0"",""10"",""5"",""10"",""1"",""10"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A parking meter next to a ladder with bowling balls on each rung.","[""0"",""10"",""10"",""3"",""-1"",""0"",""10"",""2"",""10"",""10"",""5"",""2"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""0"",""10"",""10"",""10"",""10"",""0"",""8"",""6"",""1"",""10"",""1"",""4"",""8"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
"A lazy zebra lays in the straw near a rocky field.","[""0"",""7"",""10"",""10"",""4"",""0"",""8"",""4"",""0"",""10"",""10""]","html-vertical-slider-response","61083e2156133580b022daac"
