"stimulus","response","trial_type","subject_id"
"A light blue bicycle chained to a pole on the sidewalk in front of a red building.","[""2"",""4"",""10"",""10"",""10"",""10"",""0"",""10"",""5"",""0"",""5"",""0"",""2"",""-10"",""-1"",""10"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A young boy is standing against a wall eating an apple.","[""0"",""10"",""10"",""0"",""-10"",""-10"",""0"",""10"",""6"",""0"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A young girl looking at a huge pizza with surprise.","[""0"",""10"",""10"",""6"",""0"",""-1"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A white frosted cake sitting in front of some white flowers.","[""0"",""4"",""9"",""10"",""0"",""0"",""0"",""0"",""0"",""9"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A tray full of breakfast foods and drinks on a bed.","[""-1"",""10"",""8"",""0"",""10"",""10"",""0"",""6"",""0"",""0"",""7""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A dog laying on its side with a remote control under its paw.","[""0"",""10"",""10"",""0"",""0"",""6"",""0"",""0"",""10"",""10"",""5"",""0"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"Two men holding big wooden sticks with a lot of elephants in the background.","[""5"",""10"",""0"",""-5"",""4"",""10"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""-10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A black cat sitting inside of a sink in the bathroom.","[""0"",""10"",""10"",""4"",""6"",""0"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A row of surfboards sticking out of the sand sitting next to each other.","[""0"",""10"",""0"",""10"",""3"",""0"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""0""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A man covering his eyes while standing next to multiple boxes filled with bananas.","[""0"",""10"",""5"",""0"",""-10"",""0"",""-8"",""0"",""-1"",""8"",""10"",""0"",""1"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"There is an indoor toilet underneath a sign that says please flush.","[""-1"",""-1"",""-1"",""10"",""8"",""0"",""0"",""10"",""0"",""-6"",""10"",""10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
"A table topped with a cake covered in berries next to a plate of sandwiches.","[""0"",""6"",""1"",""0"",""-1"",""10"",""3"",""0"",""10"",""0"",""0"",""1"",""8"",""1"",""-10""]","html-vertical-slider-response","5f221ff61723a94977c920eb"
