"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A man in a field of wild flowers holding an orange bat.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A dark colored cat looking at a laptop screen.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A sign mounted to a pole that reads "" No Stops "".","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""0"",""10"",""10"",""0""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A blue trash removal truck and two vehicles behind it.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"The red boat is anchored on the shore of the lake in front of the houses.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A polar bear pokes his head and one paw out of the water.","[""10"",""10"",""10"",""10"",""10"",""10"",""0"",""0"",""0"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A large group of people watch as a skater does his tricks.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A baseball player hitting the ball during a baseball game.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"Two young women are eating hot dogs while walking down the sidewalk.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"Two silver cars parked beside each other in parking spots.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
