"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""4"",""10"",""8"",""2"",""1"",""8"",""0"",""2"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""1"",""2"",""6"",""10"",""2"",""2"",""9"",""7"",""2"",""1"",""10"",""2"",""2"",""3"",""0"",""1"",""1"",""6"",""8"",""2"",""1""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man with glasses sitting in front of a laptop computer.","[""2"",""10"",""3"",""10"",""8"",""4"",""4"",""2"",""1"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A young man is having some wine and something to eat.","[""2"",""5"",""10"",""2"",""4"",""2"",""10"",""0"",""10"",""2"",""4""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man wears a suit with a blue shirt and a multicolored tie.","[""1"",""10"",""6"",""1"",""10"",""2"",""1"",""6"",""10"",""2"",""1"",""8"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A clock between two bronze flamingo statues on a black box.","[""1"",""10"",""4"",""5"",""10"",""10"",""10"",""3"",""1"",""5"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""2"",""10"",""3"",""3"",""1"",""10"",""0"",""1"",""10"",""2"",""10"",""10"",""10"",""1"",""5""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""4"",""10"",""2"",""6"",""10"",""2"",""10"",""10"",""8"",""2"",""5"",""0"",""4"",""4"",""1"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man walking with a drink and a bag while listening to earbud headphones.","[""1"",""10"",""5"",""1"",""2"",""10"",""2"",""1"",""10"",""1"",""5"",""2"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A parking meter next to a ladder with bowling balls on each rung.","[""1"",""7"",""10"",""3"",""2"",""1"",""10"",""2"",""7"",""10"",""5"",""6"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""1"",""5"",""5"",""8"",""9"",""2"",""3"",""4"",""1"",""2"",""1"",""3"",""4"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A lazy zebra lays in the straw near a rocky field.","[""1"",""0"",""10"",""6"",""4"",""1"",""10"",""0"",""2"",""8"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
