"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""10"",""10"",""10"",""-10"",""-10"",""10"",""-10"",""-10"",""0""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""-10"",""0"",""0"",""10"",""-10"",""-10"",""10"",""5"",""-10"",""-10"",""10"",""-10"",""-10"",""-4"",""-10"",""-10"",""-10"",""-10"",""-3"",""-10"",""-10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A man with glasses sitting in front of a laptop computer.","[""-10"",""10"",""-10"",""10"",""-8"",""-10"",""0"",""-10"",""-10"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A young man is having some wine and something to eat.","[""-10"",""-6"",""10"",""-10"",""-10"",""-10"",""1"",""-10"",""-10"",""-10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A man wears a suit with a blue shirt and a multicolored tie.","[""-10"",""10"",""4"",""-10"",""10"",""-10"",""-10"",""10"",""10"",""-10"",""-10"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A clock between two bronze flamingo statues on a black box.","[""-10"",""10"",""-10"",""10"",""10"",""10"",""10"",""6"",""-10"",""4"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""4"",""10"",""-10"",""3"",""-10"",""10"",""-10"",""-10"",""10"",""-10"",""10"",""10"",""10"",""-10"",""2""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""10"",""10"",""-10"",""4"",""10"",""-10"",""9"",""10"",""10"",""-10"",""6"",""-10"",""-10"",""-10"",""-10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A man walking with a drink and a bag while listening to earbud headphones.","[""-10"",""10"",""3"",""-10"",""-10"",""10"",""-10"",""-10"",""10"",""-10"",""0"",""-10"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A parking meter next to a ladder with bowling balls on each rung.","[""-9"",""9"",""10"",""-10"",""-9"",""-10"",""9"",""-10"",""10"",""10"",""-10"",""-10"",""7""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""-10"",""-10"",""-10"",""10"",""10"",""-10"",""-10"",""-10"",""-10"",""0"",""-10"",""0"",""-10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A lazy zebra lays in the straw near a rocky field.","[""-10"",""-10"",""10"",""10"",""-10"",""-10"",""10"",""-10"",""-10"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
