"stimulus","response","trial_type","subject_id"
"A light blue bicycle chained to a pole on the sidewalk in front of a red building.","[""-3"",""4"",""8"",""10"",""10"",""0"",""-2"",""8"",""-2"",""-4"",""10"",""-4"",""6"",""-4"",""-3"",""10"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A young boy is standing against a wall eating an apple.","[""-1"",""10"",""10"",""-1"",""6"",""6"",""-1"",""10"",""7"",""-3"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A young girl looking at a huge pizza with surprise.","[""-1"",""10"",""10"",""8"",""-1"",""-1"",""6"",""10"",""-3"",""5""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A white frosted cake sitting in front of some white flowers.","[""-2"",""10"",""10"",""10"",""6"",""-1"",""4"",""-1"",""-3"",""2"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A tray full of breakfast foods and drinks on a bed.","[""-2"",""10"",""10"",""-2"",""10"",""10"",""-2"",""10"",""-1"",""-1"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A dog laying on its side with a remote control under its paw.","[""-2"",""10"",""6"",""3"",""-2"",""6"",""3"",""-2"",""10"",""6"",""5"",""-1"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"Two men holding big wooden sticks with a lot of elephants in the background.","[""7"",""10"",""4"",""4"",""5"",""10"",""-2"",""-2"",""-2"",""-3"",""10"",""-3"",""-3"",""8""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A black cat sitting inside of a sink in the bathroom.","[""-2"",""7"",""10"",""6"",""5"",""-2"",""-2"",""10"",""-2"",""-2"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A row of surfboards sticking out of the sand sitting next to each other.","[""-2"",""7"",""-3"",""10"",""4"",""-10"",""-1"",""-1"",""10"",""10"",""5"",""-2"",""-10"",""-9""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A man covering his eyes while standing next to multiple boxes filled with bananas.","[""-1"",""10"",""10"",""3"",""10"",""4"",""10"",""3"",""-2"",""7"",""10"",""9"",""-2"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
"There is an indoor toilet underneath a sign that says please flush.","[""-9"",""-2"",""-3"",""10"",""10"",""5"",""-3"",""10"",""-5"",""6"",""-6"",""6""]","html-vertical-slider-response","61003a616a18f53be759d928"
"A table topped with a cake covered in berries next to a plate of sandwiches.","[""-4"",""10"",""7"",""-3"",""-3"",""10"",""6"",""-2"",""9"",""3"",""-3"",""-1"",""10"",""-3"",""10""]","html-vertical-slider-response","61003a616a18f53be759d928"
