"stimulus","response","trial_type","subject_id"
"A light blue bicycle chained to a pole on the sidewalk in front of a red building.","[""3"",""-3"",""10"",""10"",""10"",""-4"",""-5"",""10"",""3"",""1"",""10"",""0"",""6"",""0"",""0"",""5"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A young boy is standing against a wall eating an apple.","[""0"",""6"",""10"",""0"",""7"",""6"",""0"",""10"",""7"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A young girl looking at a huge pizza with surprise.","[""0"",""6"",""10"",""8"",""0"",""0"",""9"",""10"",""0"",""9""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A white frosted cake sitting in front of some white flowers.","[""0"",""8"",""10"",""10"",""5"",""3"",""4"",""0"",""0"",""8"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A tray full of breakfast foods and drinks on a bed.","[""0"",""10"",""5"",""0"",""10"",""10"",""1"",""10"",""1"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A dog laying on its side with a remote control under its paw.","[""0"",""10"",""8"",""0"",""4"",""7"",""1"",""0"",""10"",""8"",""5"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"Two men holding big wooden sticks with a lot of elephants in the background.","[""10"",""10"",""9"",""6"",""10"",""10"",""2"",""0"",""4"",""0"",""10"",""1"",""1"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A black cat sitting inside of a sink in the bathroom.","[""0"",""10"",""10"",""10"",""6"",""0"",""0"",""10"",""1"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A row of surfboards sticking out of the sand sitting next to each other.","[""0"",""8"",""-1"",""10"",""9"",""6"",""0"",""0"",""10"",""7"",""3"",""0"",""2"",""2""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man covering his eyes while standing next to multiple boxes filled with bananas.","[""0"",""10"",""10"",""3"",""10"",""0"",""10"",""4"",""0"",""7"",""10"",""4"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"There is an indoor toilet underneath a sign that says please flush.","[""0"",""1"",""0"",""7"",""10"",""6"",""0"",""10"",""10"",""2"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A table topped with a cake covered in berries next to a plate of sandwiches.","[""0"",""10"",""9"",""0"",""0"",""10"",""9"",""2"",""10"",""6"",""1"",""0"",""10"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
