"stimulus","response","trial_type","subject_id"
"A person sitting on a park bench is looking at a large field.","[""0"",""10"",""10"",""6"",""0"",""-6"",""10"",""5"",""10"",""2"",""3"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A calculator and cell phone lay on a desk in front of a keyboard.","[""5"",""10"",""4"",""4"",""10"",""6"",""5"",""4"",""10"",""3"",""10"",""3"",""5"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A sign that gives directions to drivers driving down the road.","[""4"",""10"",""6"",""5"",""10"",""5"",""-10"",""-10"",""-10"",""9"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A child kneeling in front of an open refrigerator and looking in at an empty lower shelf.","[""7"",""10"",""8"",""9"",""10"",""5"",""5"",""10"",""10"",""5"",""10"",""10"",""5"",""7"",""10"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A spread of pastries and doughnuts available for purchase.","[""7"",""10"",""6"",""-5"",""5"",""10"",""10"",""5"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A puppy has pulled toilet paper across the bathroom floor.","[""6"",""10"",""5"",""10"",""10"",""10"",""8"",""6"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A man sitting on the ground, fixing a motorcycle wheel.","[""5"",""10"",""10"",""9"",""5"",""10"",""10"",""6"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A stop sign installed upside down on a street corner.","[""10"",""10"",""10"",""2"",""10"",""10"",""5"",""5"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"Several vehicles and a horse-drawn cart pull up outside of a building.","[""8"",""10"",""5"",""6"",""10"",""10"",""5"",""7"",""10"",""3"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"Three men sitting at a table with some wine glasses.","[""10"",""10"",""10"",""4"",""4"",""10"",""4"",""6"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A city street at dusk with a street light that is on and a stop sign across the street.","[""6"",""10"",""10"",""6"",""10"",""5"",""5"",""10"",""10"",""5"",""5"",""10"",""3"",""2"",""10"",""10"",""10"",""4"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
"A close-up photo of a man as he holds a piece of bread in his mouth.","[""6"",""10"",""10"",""4"",""3"",""10"",""4"",""4"",""10"",""6"",""10"",""8"",""-3"",""10"",""10"",""10""]","html-vertical-slider-response","5d9cd36bed4008001284dcba"
