"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""3"",""10"",""4"",""-10"",""-10"",""-3"",""-10"",""-10"",""-7""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""-10"",""3"",""-8"",""9"",""-10"",""-10"",""2"",""1"",""-10"",""-10"",""9"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A man with glasses sitting in front of a laptop computer.","[""-10"",""10"",""-10"",""5"",""1"",""-10"",""-10"",""-9"",""-9"",""4"",""4""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A young man is having some wine and something to eat.","[""-10"",""-2"",""9"",""-10"",""-9"",""-9"",""3"",""-9"",""-10"",""-10"",""4""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A man wears a suit with a blue shirt and a multicolored tie.","[""-9"",""10"",""-9"",""-9"",""6"",""-9"",""-9"",""3"",""6"",""-9"",""-10"",""3"",""6""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A clock between two bronze flamingo statues on a black box.","[""-10"",""10"",""-9"",""3"",""2"",""8"",""9"",""-10"",""-10"",""-10"",""4""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""-10"",""9"",""-10"",""-10"",""-9"",""8"",""-9"",""-9"",""3"",""-9"",""4"",""6"",""6"",""-10"",""-10""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""5"",""10"",""-9"",""3"",""10"",""-9"",""6"",""2"",""5"",""-10"",""-10"",""-10"",""-10"",""-10"",""-10"",""4""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A man walking with a drink and a bag while listening to earbud headphones.","[""-10"",""10"",""4"",""-9"",""-10"",""2"",""-10"",""-10"",""5"",""-10"",""-3"",""-9"",""-1"",""1""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A parking meter next to a ladder with bowling balls on each rung.","[""-9"",""1"",""6"",""-8"",""-10"",""-10"",""-4"",""-10"",""-3"",""9"",""-10"",""-10"",""-10""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""-10"",""2"",""-4"",""5"",""10"",""-9"",""-10"",""-10"",""-9"",""-4"",""-10"",""-10"",""-3"",""9""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
"A lazy zebra lays in the straw near a rocky field.","[""-9"",""-9"",""8"",""4"",""-8"",""-9"",""3"",""-9"",""-10"",""4"",""2""]","html-vertical-slider-response","5d16b8aeaa676d001a898b7d"
