"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""1"",""8"",""10"",""10"",""1"",""10"",""4"",""1"",""5"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"The antique bed has elaborate wood decoration on the frame.","[""1"",""10"",""10"",""4"",""8"",""10"",""10"",""5"",""1"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""1"",""10"",""5"",""10"",""5"",""1"",""10"",""5"",""10"",""4"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A woman standing next to a young man near a pile of fruit.","[""1"",""10"",""10"",""5"",""5"",""1"",""8"",""3"",""6"",""1"",""10"",""5"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""3"",""3"",""5"",""2"",""10"",""5"",""10"",""10"",""5"",""10"",""10"",""7"",""2"",""3""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A person holding a book with a bird sitting on the book.","[""1"",""8"",""8"",""1"",""10"",""5"",""2"",""10"",""8"",""5"",""5"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A giraffe is peeking around the side of a wall at the camera.","[""1"",""10"",""4"",""8"",""8"",""2"",""5"",""5"",""5"",""10"",""5"",""5"",""5""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""1"",""10"",""10"",""3"",""10"",""10"",""6"",""2"",""10"",""5"",""5"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A white cake covered in flowers and white frosting.","[""1"",""10"",""10"",""10"",""3"",""10"",""5"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A man in shorts is taking a picture next to a red light.","[""1"",""10"",""3"",""10"",""0"",""0"",""0"",""-1"",""5"",""5"",""5"",""10"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""1"",""10"",""1"",""10"",""10"",""10"",""1"",""10"",""10"",""10"",""3"",""6"",""5"",""10""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""1"",""10"",""10"",""10"",""10"",""5"",""5"",""10"",""5"",""10"",""10"",""5"",""5"",""5"",""0"",""0""]","html-vertical-slider-response","63ee593570662c0c69b2f438"
