"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""8"",""10"",""10"",""6"",""0"",""9"",""0"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""-1"",""9"",""8"",""10"",""0"",""0"",""8"",""6"",""0"",""0"",""10"",""0"",""0"",""5"",""0"",""0"",""0"",""10"",""9"",""5"",""2""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man with glasses sitting in front of a laptop computer.","[""0"",""10"",""3"",""10"",""9"",""4"",""5"",""0"",""-1"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A young man is having some wine and something to eat.","[""0"",""10"",""10"",""0"",""2"",""1"",""10"",""0"",""7"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man wears a suit with a blue shirt and a multicolored tie.","[""0"",""10"",""9"",""1"",""10"",""4"",""1"",""10"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A clock between two bronze flamingo statues on a black box.","[""0"",""10"",""5"",""9"",""10"",""10"",""10"",""4"",""0"",""8"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""2"",""10"",""0"",""3"",""0"",""10"",""2"",""0"",""10"",""0"",""10"",""10"",""10"",""2"",""8""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""10"",""10"",""2"",""10"",""10"",""0"",""10"",""10"",""10"",""5"",""10"",""2"",""6"",""8"",""-1"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man walking with a drink and a bag while listening to earbud headphones.","[""0"",""10"",""9"",""2"",""0"",""10"",""0"",""0"",""9"",""5"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A parking meter next to a ladder with bowling balls on each rung.","[""0"",""10"",""10"",""4"",""0"",""0"",""10"",""2"",""8"",""10"",""1"",""4"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""0"",""9"",""9"",""10"",""10"",""0"",""9"",""5"",""1"",""10"",""3"",""10"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A lazy zebra lays in the straw near a rocky field.","[""0"",""9"",""10"",""10"",""3"",""0"",""10"",""2"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
