"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""10"",""10"",""6"",""-3"",""-7"",""6"",""-4"",""-9"",""7""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""-5"",""-5"",""-6"",""10"",""-4"",""-4"",""8"",""7"",""-5"",""-4"",""-4"",""-5"",""-5"",""-5"",""-5"",""-4"",""-3"",""-3"",""-3"",""-3"",""-4""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A man with glasses sitting in front of a laptop computer.","[""-8"",""10"",""-6"",""8"",""8"",""2"",""-5"",""-3"",""-4"",""10"",""10""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A young man is having some wine and something to eat.","[""-6"",""-7"",""10"",""-5"",""-5"",""-6"",""10"",""-4"",""-5"",""-6"",""7""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A man wears a suit with a blue shirt and a multicolored tie.","[""-7"",""10"",""4"",""-6"",""6"",""-7"",""-9"",""9"",""10"",""-7"",""-6"",""-8"",""9""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A clock between two bronze flamingo statues on a black box.","[""-6"",""10"",""-9"",""-8"",""-7"",""7"",""-7"",""-5"",""-5"",""-7"",""-7""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""-7"",""8"",""-9"",""-7"",""-8"",""-7"",""-7"",""-8"",""-6"",""-6"",""-6"",""-9"",""-8"",""-6"",""-10""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""10"",""9"",""-9"",""6"",""6"",""-8"",""7"",""-10"",""-10"",""-5"",""-8"",""-9"",""-9"",""-9"",""-8"",""9""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A man walking with a drink and a bag while listening to earbud headphones.","[""-4"",""8"",""6"",""-8"",""-10"",""10"",""-7"",""-7"",""-9"",""-5"",""7"",""-7"",""10"",""10""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A parking meter next to a ladder with bowling balls on each rung.","[""-7"",""8"",""8"",""-5"",""-6"",""-8"",""-4"",""-6"",""-8"",""-4"",""-5"",""-5"",""-3""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""-5"",""-6"",""3"",""5"",""-9"",""-10"",""-8"",""-10"",""-6"",""-4"",""-5"",""-4"",""1"",""8""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
"A lazy zebra lays in the straw near a rocky field.","[""-6"",""-6"",""9"",""9"",""-6"",""-5"",""-6"",""-5"",""-4"",""-6"",""-5""]","html-vertical-slider-response","593d60d9d3501e0001bc16e4"
