"stimulus","response","trial_type","subject_id"
"Multiple aircraft suspended from the ceiling of a museum.","[""10"",""10"",""10"",""10"",""1"",""10"",""-4"",""-2"",""5""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A dark colored cat that is looking up at a television that is on and has a program playing on it.","[""0"",""10"",""5"",""10"",""0"",""0"",""10"",""7"",""0"",""0"",""10"",""2"",""1"",""1"",""0"",""0"",""0"",""2"",""0"",""1"",""1""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A man with glasses sitting in front of a laptop computer.","[""1"",""10"",""2"",""7"",""1"",""1"",""1"",""0"",""0"",""3"",""10""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A young man is having some wine and something to eat.","[""1"",""4"",""10"",""2"",""1"",""1"",""5"",""0"",""2"",""0"",""4""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A man wears a suit with a blue shirt and a multicolored tie.","[""0"",""10"",""6"",""0"",""10"",""3"",""0"",""8"",""9"",""0"",""0"",""8"",""8""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A clock between two bronze flamingo statues on a black box.","[""0"",""10"",""3"",""10"",""9"",""10"",""10"",""0"",""0"",""4"",""10""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"Some food is on the counter including a glass of water, rice, vegetables, and more.","[""3"",""10"",""0"",""1"",""0"",""10"",""4"",""0"",""10"",""0"",""6"",""4"",""4"",""0"",""3""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"Three people in work uniforms and visors standing together in front of various types of donuts.","[""10"",""10"",""0"",""5"",""10"",""0"",""10"",""10"",""10"",""0"",""5"",""0"",""4"",""2"",""0"",""8""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A man walking with a drink and a bag while listening to earbud headphones.","[""0"",""10"",""10"",""2"",""0"",""10"",""0"",""0"",""10"",""0"",""6"",""0"",""10"",""10""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A parking meter next to a ladder with bowling balls on each rung.","[""0"",""7"",""10"",""2"",""0"",""0"",""10"",""0"",""4"",""10"",""0"",""0"",""3""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A little funny rabbit figure is sitting in the middle of half eaten pizza.","[""0"",""10"",""7"",""10"",""10"",""0"",""1"",""0"",""0"",""5"",""0"",""3"",""5"",""10""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
"A lazy zebra lays in the straw near a rocky field.","[""0"",""5"",""10"",""10"",""0"",""0"",""10"",""4"",""0"",""10"",""7""]","html-vertical-slider-response","5c43fb651ddd660001c9de3a"
