"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""1"",""10"",""10"",""6"",""-2"",""10"",""3"",""-5"",""3"",""10"",""8""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"The antique bed has elaborate wood decoration on the frame.","[""3"",""10"",""10"",""-2"",""6"",""9"",""6"",""4"",""-4"",""4""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""1"",""10"",""-3"",""10"",""6"",""-4"",""10"",""4"",""10"",""-2"",""8"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A woman standing next to a young man near a pile of fruit.","[""-2"",""10"",""8"",""5"",""5"",""-3"",""9"",""10"",""5"",""-4"",""8"",""-3"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""2"",""10"",""6"",""1"",""10"",""6"",""10"",""10"",""1"",""10"",""2"",""4"",""-1"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A person holding a book with a bird sitting on the book.","[""1"",""8"",""7"",""-2"",""10"",""-2"",""-2"",""10"",""6"",""6"",""-2"",""9""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A giraffe is peeking around the side of a wall at the camera.","[""1"",""10"",""-5"",""10"",""4"",""-3"",""8"",""-4"",""-4"",""10"",""0"",""-4"",""8""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""-1"",""10"",""5"",""-4"",""10"",""9"",""6"",""-5"",""10"",""2"",""-4"",""8"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A white cake covered in flowers and white frosting.","[""1"",""10"",""9"",""7"",""3"",""10"",""-6"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A man in shorts is taking a picture next to a red light.","[""3"",""10"",""0"",""10"",""-4"",""5"",""-4"",""10"",""2"",""-3"",""2"",""10"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""1"",""10"",""-1"",""10"",""10"",""10"",""-5"",""10"",""10"",""10"",""-2"",""7"",""-1"",""10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""-1"",""10"",""7"",""6"",""8"",""-5"",""-3"",""10"",""-4"",""7"",""10"",""-4"",""-2"",""6"",""-7"",""-10""]","html-vertical-slider-response","63ea429cb57c13add2123735"
