"stimulus","response","trial_type","subject_id"
"A person sitting on a park bench is looking at a large field.","[""0"",""10"",""10"",""6"",""0"",""10"",""10"",""0"",""-3"",""0"",""0"",""6"",""10""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A calculator and cell phone lay on a desk in front of a keyboard.","[""0"",""10"",""0"",""7"",""9"",""8"",""5"",""0"",""8"",""0"",""4"",""0"",""0"",""4""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A sign that gives directions to drivers driving down the road.","[""0"",""10"",""0"",""3"",""6"",""0"",""-10"",""-10"",""-4"",""0"",""10""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A child kneeling in front of an open refrigerator and looking in at an empty lower shelf.","[""0"",""10"",""6"",""0"",""4"",""0"",""0"",""5"",""10"",""0"",""4"",""0"",""0"",""0"",""5"",""5"",""6""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A spread of pastries and doughnuts available for purchase.","[""0"",""7"",""0"",""3"",""0"",""10"",""1"",""1"",""-2""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A puppy has pulled toilet paper across the bathroom floor.","[""-1"",""10"",""0"",""-2"",""10"",""8"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A man sitting on the ground, fixing a motorcycle wheel.","[""0"",""10"",""10"",""0"",""0"",""5"",""6"",""0"",""6"",""10""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A stop sign installed upside down on a street corner.","[""1"",""10"",""10"",""-3"",""10"",""10"",""0"",""0"",""5"",""2""]","html-vertical-slider-response","61018063448950c9935d8f12"
"Several vehicles and a horse-drawn cart pull up outside of a building.","[""4"",""10"",""0"",""0"",""3"",""7"",""0"",""0"",""9"",""1"",""0"",""5""]","html-vertical-slider-response","61018063448950c9935d8f12"
"Three men sitting at a table with some wine glasses.","[""10"",""10"",""3"",""0"",""0"",""6"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A city street at dusk with a street light that is on and a stop sign across the street.","[""0"",""-5"",""6"",""0"",""5"",""0"",""0"",""7"",""10"",""0"",""0"",""1"",""0"",""0"",""9"",""9"",""2"",""0"",""8""]","html-vertical-slider-response","61018063448950c9935d8f12"
"A close-up photo of a man as he holds a piece of bread in his mouth.","[""0"",""4"",""0"",""0"",""0"",""10"",""0"",""0"",""-3"",""0"",""3"",""0"",""5"",""0"",""0"",""9""]","html-vertical-slider-response","61018063448950c9935d8f12"
