"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""-3"",""7"",""9"",""9"",""-3"",""8"",""7"",""8"",""-10"",""-7"",""-10"",""-10"",""-5"",""9""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A man in a field of wild flowers holding an orange bat.","[""6"",""8"",""7"",""7"",""7"",""6"",""6"",""8"",""10"",""8"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A dark colored cat looking at a laptop screen.","[""9"",""10"",""10"",""10"",""9"",""8"",""10"",""10"",""9""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A sign mounted to a pole that reads "" No Stops "".","[""9"",""10"",""10"",""10"",""10"",""10"",""8"",""8"",""-10"",""9"",""9"",""-10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A blue trash removal truck and two vehicles behind it.","[""10"",""10"",""8"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"The red boat is anchored on the shore of the lake in front of the houses.","[""8"",""10"",""10"",""5"",""8"",""2"",""5"",""5"",""5"",""7"",""7"",""9"",""9"",""9"",""9"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A polar bear pokes his head and one paw out of the water.","[""9"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A large group of people watch as a skater does his tricks.","[""3"",""7"",""5"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A baseball player hitting the ball during a baseball game.","[""8"",""10"",""10"",""7"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""10"",""10"",""10"",""10"",""8"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"Two young women are eating hot dogs while walking down the sidewalk.","[""10"",""8"",""10"",""10"",""7"",""10"",""10"",""10"",""9"",""10"",""10"",""10""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
"Two silver cars parked beside each other in parking spots.","[""10"",""10"",""10"",""7"",""-3"",""7"",""7"",""7"",""8"",""7""]","html-vertical-slider-response","5ef1a03726ae307af5d77baf"
