"stimulus","response","trial_type","subject_id"
"A person sitting on a park bench is looking at a large field.","[""0"",""10"",""10"",""5"",""0"",""10"",""10"",""0"",""4"",""0"",""0"",""4"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A calculator and cell phone lay on a desk in front of a keyboard.","[""0"",""10"",""0"",""10"",""10"",""4"",""5"",""0"",""7"",""0"",""2"",""0"",""0"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A sign that gives directions to drivers driving down the road.","[""0"",""10"",""0"",""0"",""8"",""0"",""-10"",""2"",""-2"",""0"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A child kneeling in front of an open refrigerator and looking in at an empty lower shelf.","[""0"",""10"",""10"",""2"",""5"",""0"",""0"",""8"",""10"",""0"",""4"",""2"",""0"",""0"",""6"",""6"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A spread of pastries and doughnuts available for purchase.","[""0"",""5"",""0"",""10"",""0"",""10"",""2"",""0"",""-4""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A puppy has pulled toilet paper across the bathroom floor.","[""0"",""10"",""0"",""5"",""10"",""10"",""8"",""0"",""10"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A man sitting on the ground, fixing a motorcycle wheel.","[""0"",""10"",""10"",""5"",""0"",""10"",""10"",""0"",""6"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A stop sign installed upside down on a street corner.","[""0"",""10"",""10"",""5"",""7"",""5"",""5"",""0"",""10"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"Several vehicles and a horse-drawn cart pull up outside of a building.","[""7"",""10"",""0"",""0"",""10"",""10"",""7"",""4"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"Three men sitting at a table with some wine glasses.","[""10"",""10"",""10"",""0"",""0"",""10"",""2"",""2"",""10"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A city street at dusk with a street light that is on and a stop sign across the street.","[""0"",""2"",""10"",""0"",""7"",""0"",""0"",""10"",""10"",""0"",""0"",""3"",""0"",""0"",""10"",""10"",""4"",""0"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
"A close-up photo of a man as he holds a piece of bread in his mouth.","[""0"",""10"",""-5"",""0"",""0"",""10"",""0"",""10"",""1"",""0"",""3"",""0"",""10"",""4"",""4"",""10""]","html-vertical-slider-response","5d4b14caed2dfc0001a22c1a"
