"stimulus","response","trial_type","subject_id"
"A person sitting on a park bench is looking at a large field.","[""0"",""10"",""10"",""0"",""0"",""10"",""10"",""-1"",""-1"",""0"",""-1"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A calculator and cell phone lay on a desk in front of a keyboard.","[""0"",""10"",""0"",""10"",""10"",""0"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A sign that gives directions to drivers driving down the road.","[""0"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A child kneeling in front of an open refrigerator and looking in at an empty lower shelf.","[""0"",""10"",""10"",""0"",""0"",""0"",""0"",""10"",""10"",""0"",""10"",""0"",""0"",""0"",""10"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A spread of pastries and doughnuts available for purchase.","[""0"",""0"",""0"",""10"",""0"",""10"",""0"",""0"",""0""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A puppy has pulled toilet paper across the bathroom floor.","[""0"",""10"",""0"",""0"",""10"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A man sitting on the ground, fixing a motorcycle wheel.","[""0"",""10"",""10"",""0"",""0"",""10"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A stop sign installed upside down on a street corner.","[""0"",""10"",""10"",""0"",""10"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"Several vehicles and a horse-drawn cart pull up outside of a building.","[""0"",""10"",""0"",""1"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"Three men sitting at a table with some wine glasses.","[""10"",""10"",""10"",""0"",""-1"",""10"",""-1"",""0"",""10"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A city street at dusk with a street light that is on and a stop sign across the street.","[""0"",""0"",""10"",""0"",""10"",""1"",""0"",""10"",""10"",""0"",""0"",""0"",""0"",""0"",""10"",""9"",""0"",""0"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
"A close-up photo of a man as he holds a piece of bread in his mouth.","[""0"",""0"",""-1"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""-1"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5a8b61fcf1408d000176b02f"
