"stimulus","response","trial_type","subject_id"
"A person sitting on a park bench is looking at a large field.","[""0"",""10"",""10"",""4"",""0"",""10"",""10"",""0"",""10"",""3"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A calculator and cell phone lay on a desk in front of a keyboard.","[""0"",""10"",""0"",""10"",""10"",""8"",""5"",""0"",""10"",""0"",""6"",""2"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A sign that gives directions to drivers driving down the road.","[""0"",""10"",""2"",""8"",""10"",""1"",""-1"",""-4"",""10"",""1"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A child kneeling in front of an open refrigerator and looking in at an empty lower shelf.","[""0"",""10"",""10"",""2"",""8"",""1"",""0"",""6"",""10"",""0"",""10"",""5"",""1"",""0"",""10"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A spread of pastries and doughnuts available for purchase.","[""0"",""10"",""0"",""10"",""0"",""10"",""8"",""0"",""7""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A puppy has pulled toilet paper across the bathroom floor.","[""0"",""10"",""0"",""10"",""10"",""10"",""7"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man sitting on the ground, fixing a motorcycle wheel.","[""0"",""10"",""10"",""5"",""0"",""10"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A stop sign installed upside down on a street corner.","[""0"",""10"",""10"",""9"",""10"",""10"",""3"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"Several vehicles and a horse-drawn cart pull up outside of a building.","[""9"",""10"",""0"",""0"",""10"",""10"",""7"",""5"",""10"",""2"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"Three men sitting at a table with some wine glasses.","[""10"",""10"",""10"",""3"",""0"",""10"",""3"",""6"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A city street at dusk with a street light that is on and a stop sign across the street.","[""0"",""10"",""10"",""0"",""10"",""4"",""0"",""10"",""10"",""3"",""0"",""5"",""0"",""0"",""10"",""10"",""3"",""1"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A close-up photo of a man as he holds a piece of bread in his mouth.","[""0"",""7"",""10"",""0"",""1"",""10"",""0"",""8"",""10"",""0"",""6"",""3"",""10"",""3"",""8"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
