"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""2"",""10"",""10"",""0"",""0"",""10"",""10"",""6"",""0"",""0"",""-5"",""-6"",""-8"",""7""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A man in a field of wild flowers holding an orange bat.","[""0"",""10"",""0"",""0"",""8"",""0"",""4"",""9"",""0"",""0"",""6"",""10""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A dark colored cat looking at a laptop screen.","[""0"",""6"",""0"",""9"",""2"",""0"",""0"",""7"",""6""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A sign mounted to a pole that reads "" No Stops "".","[""0"",""6"",""3"",""0"",""0"",""7"",""0"",""0"",""0"",""5"",""5"",""0""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A blue trash removal truck and two vehicles behind it.","[""0"",""5"",""0"",""0"",""6"",""-6"",""4"",""4"",""0"",""0""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"The red boat is anchored on the shore of the lake in front of the houses.","[""-4"",""6"",""6"",""-4"",""0"",""0"",""0"",""3"",""-3"",""-3"",""3"",""0"",""0"",""0"",""0"",""6""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A polar bear pokes his head and one paw out of the water.","[""-1"",""2"",""4"",""0"",""0"",""3"",""0"",""0"",""7"",""0"",""0"",""0"",""4""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A large group of people watch as a skater does his tricks.","[""0"",""0"",""5"",""0"",""4"",""0"",""-2"",""-1"",""0"",""0"",""0"",""0""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A baseball player hitting the ball during a baseball game.","[""0"",""4"",""4"",""2"",""0"",""2"",""0"",""0"",""3"",""3""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""2"",""6"",""0"",""2"",""0"",""3"",""3"",""0"",""2"",""4"",""0"",""0"",""0"",""2"",""2"",""1"",""0"",""0"",""2""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"Two young women are eating hot dogs while walking down the sidewalk.","[""5"",""0"",""6"",""0"",""3"",""1"",""2"",""-3"",""-3"",""0"",""0"",""5""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
"Two silver cars parked beside each other in parking spots.","[""5"",""5"",""5"",""4"",""2"",""0"",""0"",""0"",""0"",""0""]","html-vertical-slider-response","633e6a1349fdb14001eee810"
