"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""-4"",""10"",""4"",""0"",""-3"",""8"",""4"",""-2"",""-5"",""-10"",""-10"",""-10"",""-10"",""-1""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A man in a field of wild flowers holding an orange bat.","[""-3"",""10"",""2"",""-3"",""8"",""-3"",""3"",""3"",""2"",""-3"",""6"",""6""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A dark colored cat looking at a laptop screen.","[""-3"",""2"",""0"",""10"",""2"",""-3"",""-3"",""8"",""3""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A sign mounted to a pole that reads "" No Stops "".","[""-3"",""10"",""3"",""-3"",""-3"",""8"",""-4"",""0"",""-10"",""10"",""10"",""-10""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A blue trash removal truck and two vehicles behind it.","[""-3"",""6"",""0"",""3"",""10"",""-3"",""2"",""2"",""-3"",""-3""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"The red boat is anchored on the shore of the lake in front of the houses.","[""-3"",""6"",""10"",""-3"",""-1"",""-4"",""-4"",""5"",""-4"",""-3"",""8"",""-3"",""-3"",""-3"",""-3"",""8""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A polar bear pokes his head and one paw out of the water.","[""-3"",""10"",""10"",""0"",""-10"",""9"",""-3"",""1"",""9"",""-3"",""-3"",""-3"",""8""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A large group of people watch as a skater does his tricks.","[""-3"",""0"",""4"",""-3"",""6"",""4"",""-3"",""-3"",""10"",""-3"",""-3"",""3""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A baseball player hitting the ball during a baseball game.","[""-3"",""10"",""8"",""4"",""-3"",""3"",""-3"",""-3"",""10"",""3""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""-3"",""9"",""-3"",""-3"",""1"",""4"",""4"",""-3"",""3"",""2"",""-3"",""-3"",""-3"",""2"",""3"",""3"",""-3"",""-3"",""4""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"Two young women are eating hot dogs while walking down the sidewalk.","[""5"",""6"",""10"",""-3"",""6"",""6"",""6"",""-3"",""0"",""-6"",""-6"",""0""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
"Two silver cars parked beside each other in parking spots.","[""6"",""3"",""10"",""8"",""-3"",""-3"",""-3"",""-3"",""9"",""9""]","html-vertical-slider-response","614c1267826bcb89bd92e726"
