"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""1"",""10"",""10"",""10"",""0"",""10"",""0"",""0"",""10"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"The antique bed has elaborate wood decoration on the frame.","[""0"",""10"",""10"",""0"",""10"",""10"",""10"",""2"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""0"",""10"",""0"",""10"",""3"",""0"",""10"",""4"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A woman standing next to a young man near a pile of fruit.","[""0"",""10"",""10"",""7"",""0"",""0"",""8"",""10"",""5"",""0"",""10"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""6"",""10"",""2"",""0"",""10"",""4"",""10"",""10"",""0"",""10"",""9"",""7"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A person holding a book with a bird sitting on the book.","[""0"",""10"",""8"",""1"",""10"",""5"",""0"",""10"",""10"",""4"",""0"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A giraffe is peeking around the side of a wall at the camera.","[""0"",""10"",""0"",""10"",""10"",""0"",""10"",""0"",""0"",""10"",""0"",""1"",""-2""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""0"",""10"",""7"",""0"",""10"",""10"",""3"",""0"",""10"",""5"",""1"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A white cake covered in flowers and white frosting.","[""0"",""10"",""10"",""9"",""1"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A man in shorts is taking a picture next to a red light.","[""0"",""10"",""0"",""10"",""0"",""7"",""1"",""10"",""5"",""0"",""0"",""8"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""0"",""10"",""3"",""10"",""10"",""10"",""0"",""10"",""10"",""10"",""0"",""5"",""1"",""10""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""0"",""10"",""10"",""10"",""10"",""1"",""0"",""10"",""6"",""10"",""10"",""0"",""0"",""10"",""2"",""3""]","html-vertical-slider-response","5f12749ec1ac141c20bf38ab"
