"stimulus","response","trial_type","subject_id"
"A white swan swimming through a lake next to a boat.","[""6"",""10"",""6"",""10"",""0"",""6"",""10"",""5"",""-2"",""6"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A person wearing a helmet and goggles riding a snowboard down the slopes.","[""3"",""10"",""5"",""2"",""10"",""0"",""10"",""10"",""2"",""10"",""2"",""2"",""4""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A bathroom with curtains that have floral decor on them.","[""1"",""10"",""2"",""10"",""2"",""5"",""8"",""8"",""-4"",""-4""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A patio table with two dinner plates of food and two bowls of salad.","[""1"",""7"",""10"",""5"",""7"",""9"",""10"",""-1"",""10"",""5"",""4"",""10"",""1"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A green stop light with a tall building lighted up in the background at night.","[""0"",""-10"",""-10"",""9"",""-3"",""3"",""6"",""10"",""10"",""1"",""-3"",""-1"",""-1"",""2"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A fruit smoothie glass on a plate with two strawberries for garnish.","[""1"",""10"",""10"",""10"",""-10"",""4"",""10"",""10"",""10"",""10"",""-3"",""-10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A baseball player is waiting for the pitch while standing in the batters box.","[""6"",""10"",""10"",""5"",""10"",""8"",""6"",""10"",""3"",""10"",""2"",""5"",""10"",""4""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A cup of coffee with a plate of banana slices on bread.","[""6"",""10"",""7"",""10"",""10"",""3"",""10"",""6"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A large crowd of people riding horses walks along a trail.","[""2"",""10"",""10"",""2"",""10"",""10"",""10"",""10"",""7"",""2"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A colorful truck with a full load of sticks and twigs.","[""2"",""10"",""10"",""5"",""2"",""10"",""10"",""1"",""10"",""2"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A car sitting in the middle of the road near a construction vehicle.","[""3"",""10"",""10"",""7"",""3"",""10"",""2"",""3"",""10"",""10"",""3"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A black and white picture of people walking in the rain under umbrellas.","[""2"",""10"",""5"",""10"",""10"",""4"",""10"",""10"",""3"",""4"",""9"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
