"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""2"",""10"",""10"",""10"",""1"",""10"",""10"",""7"",""5"",""5"",""-3"",""-3"",""0"",""-3""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A man in a field of wild flowers holding an orange bat.","[""3"",""10"",""0"",""3"",""10"",""3"",""4"",""10"",""10"",""4"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A dark colored cat looking at a laptop screen.","[""2"",""10"",""7"",""10"",""10"",""6"",""2"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A sign mounted to a pole that reads "" No Stops "".","[""-1"",""10"",""10"",""-1"",""0"",""10"",""-2"",""-2"",""-3"",""10"",""10"",""-10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A blue trash removal truck and two vehicles behind it.","[""3"",""10"",""10"",""4"",""10"",""1"",""5"",""10"",""3"",""3""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"The red boat is anchored on the shore of the lake in front of the houses.","[""1"",""10"",""10"",""3"",""10"",""1"",""1"",""10"",""0"",""1"",""10"",""2"",""4"",""1"",""1"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A polar bear pokes his head and one paw out of the water.","[""1"",""10"",""10"",""3"",""7"",""10"",""1"",""3"",""10"",""6"",""0"",""1"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A large group of people watch as a skater does his tricks.","[""2"",""10"",""10"",""3"",""10"",""8"",""1"",""2"",""10"",""5"",""7"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A baseball player hitting the ball during a baseball game.","[""3"",""10"",""10"",""10"",""1"",""10"",""5"",""3"",""10"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""1"",""10"",""1"",""1"",""2"",""10"",""7"",""1"",""10"",""10"",""3"",""1"",""4"",""10"",""10"",""10"",""10"",""5"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"Two young women are eating hot dogs while walking down the sidewalk.","[""10"",""10"",""10"",""6"",""10"",""7"",""0"",""6"",""10"",""-3"",""1"",""10""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
"Two silver cars parked beside each other in parking spots.","[""10"",""10"",""10"",""10"",""10"",""9"",""5"",""1"",""10"",""7""]","html-vertical-slider-response","62879d3a38cf2c0b429727c6"
