"stimulus","response","trial_type","subject_id"
"A cat standing on a toilet seat looking at the person taking the photo.","[""10"",""10"",""10"",""10"",""7"",""10"",""10"",""10"",""10"",""5"",""6"",""10"",""3"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A man in a field of wild flowers holding an orange bat.","[""3"",""10"",""4"",""10"",""10"",""4"",""3"",""10"",""10"",""4"",""10"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A dark colored cat looking at a laptop screen.","[""1"",""-2"",""3"",""10"",""10"",""10"",""5"",""10"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A sign mounted to a pole that reads "" No Stops "".","[""6"",""10"",""10"",""5"",""4"",""10"",""2"",""9"",""-10"",""10"",""10"",""-10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A blue trash removal truck and two vehicles behind it.","[""5"",""10"",""10"",""10"",""10"",""2"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"The red boat is anchored on the shore of the lake in front of the houses.","[""6"",""10"",""10"",""4"",""0"",""5"",""5"",""8"",""7"",""7"",""10"",""6"",""10"",""4"",""5"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A polar bear pokes his head and one paw out of the water.","[""4"",""10"",""10"",""8"",""-10"",""10"",""7"",""10"",""10"",""10"",""5"",""5"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A large group of people watch as a skater does his tricks.","[""3"",""-10"",""10"",""3"",""10"",""6"",""3"",""4"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A baseball player hitting the ball during a baseball game.","[""3"",""10"",""10"",""10"",""4"",""10"",""-5"",""-5"",""10"",""1""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"A kitchen with a clear counter top and wooden cabinets, along with a white dish washer under the counter.","[""5"",""10"",""5"",""5"",""10"",""10"",""10"",""5"",""10"",""10"",""6"",""3"",""5"",""5"",""10"",""10"",""10"",""5"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"Two young women are eating hot dogs while walking down the sidewalk.","[""10"",""10"",""10"",""5"",""10"",""10"",""10"",""8"",""10"",""-10"",""7"",""9""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
"Two silver cars parked beside each other in parking spots.","[""10"",""10"",""10"",""10"",""4"",""7"",""6"",""9"",""10"",""10""]","html-vertical-slider-response","568e7f66e3ef9e000ba1a089"
