"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""0"",""3"",""9"",""10"",""0"",""10"",""0"",""0"",""9"",""10"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"The antique bed has elaborate wood decoration on the frame.","[""0"",""9"",""10"",""0"",""10"",""10"",""10"",""7"",""0"",""8""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""0"",""10"",""0"",""-10"",""0"",""0"",""6"",""4"",""10"",""1"",""9"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A woman standing next to a young man near a pile of fruit.","[""0"",""5"",""9"",""8"",""0"",""-1"",""7"",""9"",""10"",""0"",""9"",""0"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""-10"",""10"",""0"",""0"",""10"",""1"",""8"",""10"",""2"",""10"",""10"",""7"",""0"",""9""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A person holding a book with a bird sitting on the book.","[""0"",""2"",""3"",""1"",""6"",""0"",""1"",""10"",""10"",""0"",""0"",""9""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A giraffe is peeking around the side of a wall at the camera.","[""0"",""10"",""0"",""10"",""10"",""0"",""5"",""0"",""1"",""4"",""1"",""-1"",""1""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""0"",""6"",""6"",""0"",""10"",""4"",""0"",""0"",""4"",""0"",""1"",""2"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A white cake covered in flowers and white frosting.","[""1"",""3"",""6"",""0"",""0"",""8"",""0"",""9"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A man in shorts is taking a picture next to a red light.","[""0"",""6"",""0"",""9"",""0"",""2"",""-1"",""7"",""3"",""-1"",""1"",""10"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""1"",""9"",""1"",""7"",""10"",""10"",""1"",""10"",""10"",""10"",""0"",""0"",""-2"",""10""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""1"",""10"",""7"",""3"",""0"",""1"",""-2"",""10"",""1"",""6"",""2"",""0"",""-1"",""4"",""0"",""0""]","html-vertical-slider-response","61010ed79b9d528dcd376bc7"
