"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""0"",""10"",""10"",""10"",""0"",""10"",""0"",""0"",""5"",""10"",""10""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"The antique bed has elaborate wood decoration on the frame.","[""0"",""2"",""7"",""0"",""3"",""7"",""3"",""0"",""0"",""0""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""0"",""2"",""0"",""4"",""0"",""-1"",""1"",""0"",""2"",""0"",""6"",""3""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A woman standing next to a young man near a pile of fruit.","[""0"",""2"",""0"",""0"",""0"",""0"",""6"",""6"",""0"",""0"",""2"",""0"",""5""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""0"",""2"",""0"",""1"",""1"",""0"",""1"",""3"",""0"",""7"",""5"",""0"",""0"",""4""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A person holding a book with a bird sitting on the book.","[""0"",""2"",""0"",""0"",""6"",""0"",""0"",""8"",""7"",""1"",""0"",""7""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A giraffe is peeking around the side of a wall at the camera.","[""1"",""9"",""0"",""7"",""5"",""0"",""4"",""0"",""0"",""1"",""0"",""0"",""0""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""0"",""8"",""0"",""0"",""1"",""0"",""0"",""0"",""2"",""0"",""0"",""0"",""8""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A white cake covered in flowers and white frosting.","[""1"",""3"",""9"",""3"",""0"",""9"",""0"",""3"",""1""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A man in shorts is taking a picture next to a red light.","[""0"",""8"",""0"",""0"",""0"",""0"",""0"",""1"",""5"",""1"",""0"",""4"",""8""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""0"",""1"",""0"",""1"",""8"",""8"",""0"",""6"",""8"",""7"",""0"",""0"",""0"",""7""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""0"",""9"",""6"",""4"",""3"",""0"",""0"",""9"",""0"",""0"",""8"",""1"",""1"",""1"",""1"",""0""]","html-vertical-slider-response","5dd6861c070fdc6179d8003e"
