"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""5"",""10"",""10"",""-10"",""10"",""4"",""-10"",""10"",""3"",""-4"",""6"",""2"",""3"",""7"",""0""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A refrigerator mostly empty with only a few bottles of water inside.","[""-6"",""10"",""4"",""4"",""0"",""0"",""0"",""10"",""10"",""5"",""10"",""4""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A heavily lit-up building in front of a river.","[""-10"",""-5"",""10"",""10"",""0"",""10"",""6"",""0"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A city skyline is shown with a subway train coming around the bend.","[""-10"",""10"",""10"",""3"",""10"",""10"",""0"",""6"",""10"",""4"",""4"",""4"",""7""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""-10"",""10"",""10"",""-4"",""0"",""-4"",""10"",""3"",""10"",""10"",""5"",""10"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A tray topped with a chicken sandwich next to a cup of fries.","[""-10"",""7"",""2"",""7"",""0"",""10"",""10"",""4"",""2"",""0"",""-3"",""-3"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A baby elephant walking through a shallow pool of flowing water.","[""-10"",""5"",""10"",""4"",""2"",""-10"",""5"",""2"",""0"",""7"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"Several containers of food and beverages on a wooden table outdoors.","[""0"",""10"",""3"",""10"",""3"",""10"",""4"",""0"",""10"",""10"",""6""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"Some control buttons on an orange and silver electronic device.","[""-10"",""5"",""10"",""4"",""0"",""6"",""0"",""8"",""10"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A bird sits atop a wooden post and watches its surroundings.","[""-10"",""10"",""5"",""4"",""0"",""10"",""8"",""0"",""3"",""0"",""3""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"A person holding an object in front of a panda bear.","[""-10"",""10"",""10"",""0"",""10"",""0"",""10"",""3"",""-10"",""10"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
"People are on the beach flying kites that look like arches in the sky.","[""10"",""-10"",""4"",""-10"",""10"",""5"",""10"",""0"",""0"",""0"",""7"",""3"",""0"",""10""]","html-vertical-slider-response","5a2314df681a240001ff4217"
