"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""0"",""10"",""10"",""4"",""10"",""4"",""0"",""1"",""5"",""4"",""10"",""3"",""10"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A refrigerator mostly empty with only a few bottles of water inside.","[""0"",""10"",""5"",""5"",""2"",""2"",""0"",""6"",""10"",""7"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A heavily lit-up building in front of a river.","[""0"",""2"",""10"",""10"",""0"",""6"",""4"",""0"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A city skyline is shown with a subway train coming around the bend.","[""0"",""10"",""10"",""0"",""6"",""7"",""0"",""10"",""10"",""10"",""10"",""4"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""0"",""10"",""10"",""5"",""5"",""5"",""10"",""4"",""10"",""10"",""5"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A tray topped with a chicken sandwich next to a cup of fries.","[""0"",""10"",""10"",""6"",""0"",""10"",""10"",""5"",""5"",""0"",""5"",""5"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A baby elephant walking through a shallow pool of flowing water.","[""0"",""10"",""10"",""10"",""10"",""0"",""8"",""10"",""1"",""9"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"Several containers of food and beverages on a wooden table outdoors.","[""8"",""10"",""6"",""10"",""5"",""10"",""6"",""0"",""10"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"Some control buttons on an orange and silver electronic device.","[""4"",""8"",""10"",""5"",""0"",""8"",""5"",""10"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A bird sits atop a wooden post and watches its surroundings.","[""0"",""10"",""7"",""10"",""0"",""9"",""9"",""4"",""7"",""7"",""7""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"A person holding an object in front of a panda bear.","[""0"",""10"",""10"",""0"",""7"",""7"",""8"",""7"",""0"",""10"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
"People are on the beach flying kites that look like arches in the sky.","[""7"",""7"",""9"",""7"",""10"",""10"",""10"",""7"",""7"",""8"",""10"",""8"",""6"",""10""]","html-vertical-slider-response","6329da934d2de8bcae57eed0"
