"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""9""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A refrigerator mostly empty with only a few bottles of water inside.","[""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A heavily lit-up building in front of a river.","[""10"",""-1"",""10"",""9"",""9"",""9"",""10"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A city skyline is shown with a subway train coming around the bend.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""3""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""10"",""10"",""10"",""10"",""10"",""9"",""9"",""10"",""10"",""10"",""9"",""10"",""9""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A tray topped with a chicken sandwich next to a cup of fries.","[""10"",""10"",""-7"",""9"",""8"",""9"",""9"",""10"",""9"",""10"",""-7"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A baby elephant walking through a shallow pool of flowing water.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""9"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"Several containers of food and beverages on a wooden table outdoors.","[""10"",""-9"",""8"",""10"",""10"",""9"",""8"",""9"",""10"",""9"",""9""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"Some control buttons on an orange and silver electronic device.","[""9"",""9"",""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A bird sits atop a wooden post and watches its surroundings.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"A person holding an object in front of a panda bear.","[""10"",""10"",""10"",""10"",""-9"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
"People are on the beach flying kites that look like arches in the sky.","[""10"",""0"",""10"",""10"",""10"",""10"",""9"",""-2"",""-2"",""-2"",""-2"",""-2"",""10"",""10""]","html-vertical-slider-response","60fee3a72d0cf132290368e6"
