"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""-10"",""10"",""4"",""-10"",""2"",""-10"",""-10"",""2"",""3"",""-10"",""10"",""-10"",""10"",""4"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A refrigerator mostly empty with only a few bottles of water inside.","[""0"",""10"",""0"",""5"",""0"",""0"",""4"",""4"",""10"",""0"",""10"",""6""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A heavily lit-up building in front of a river.","[""0"",""4"",""10"",""10"",""0"",""3"",""0"",""0"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A city skyline is shown with a subway train coming around the bend.","[""0"",""10"",""10"",""0"",""3"",""0"",""4"",""-10"",""-6"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""0"",""10"",""10"",""0"",""0"",""0"",""5"",""0"",""3"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A tray topped with a chicken sandwich next to a cup of fries.","[""0"",""3"",""0"",""0"",""0"",""2"",""5"",""0"",""1"",""0"",""1"",""0"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A baby elephant walking through a shallow pool of flowing water.","[""0"",""10"",""10"",""5"",""0"",""0"",""10"",""-10"",""0"",""6"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"Several containers of food and beverages on a wooden table outdoors.","[""1"",""10"",""0"",""10"",""1"",""10"",""0"",""0"",""4"",""8"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"Some control buttons on an orange and silver electronic device.","[""0"",""6"",""10"",""0"",""0"",""10"",""0"",""7"",""7"",""6""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A bird sits atop a wooden post and watches its surroundings.","[""0"",""10"",""4"",""0"",""0"",""10"",""4"",""0"",""4"",""0"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"A person holding an object in front of a panda bear.","[""0"",""7"",""3"",""0"",""10"",""0"",""0"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
"People are on the beach flying kites that look like arches in the sky.","[""-6"",""0"",""0"",""0"",""10"",""5"",""5"",""0"",""0"",""0"",""7"",""0"",""0"",""10""]","html-vertical-slider-response","5f41ecb4513b1f3b44e4319c"
