"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""-1"",""9"",""10"",""10"",""6"",""-4"",""10"",""-4"",""-5"",""3"",""10""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""9"",""10"",""-1"",""-6"",""-6"",""10"",""10"",""-5"",""3"",""-4"",""-5"",""10""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""9"",""10"",""-3"",""10"",""-4"",""-3"",""10"",""10"",""10"",""-4"",""9"",""-4"",""10"",""-3"",""9"",""-2"",""-3"",""9"",""-3"",""6"",""0"",""4"",""0"",""-3"",""10"",""5"",""-3"",""7""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A toddler is sitting on a blanket outdoors eating an apple.","[""-6"",""9"",""-5"",""10"",""0"",""-6"",""10"",""6"",""10"",""-6"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""-4"",""8"",""10"",""9"",""-2"",""-5"",""9"",""3"",""-3"",""-3"",""3"",""10"",""6"",""-2"",""-5"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"Two giraffes standing on a dirt expanse with trees in background.","[""10"",""10"",""9"",""-4"",""-4"",""3"",""5"",""-3"",""7"",""-3"",""2""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A teddy bear is sitting on the rail of a wire fence.","[""-5"",""9"",""9"",""-4"",""8"",""-6"",""-7"",""6"",""-6"",""-6"",""3"",""10""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A tennis player makes a quick shuffle to return the ball.","[""-5"",""5"",""10"",""-7"",""-7"",""-3"",""5"",""-7"",""0"",""-4"",""10""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"Plates of food and two glasses of red wine are on a table.","[""10"",""-7"",""10"",""-7"",""10"",""9"",""-7"",""5"",""10"",""-4"",""-4"",""-6"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""-4"",""4"",""3"",""9"",""-4"",""10"",""9"",""-4"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A man holding a baby while standing in front of a mirror.","[""-4"",""10"",""5"",""-7"",""10"",""-1"",""7"",""-5"",""0"",""-4"",""-4"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
"A cat sitting on the hood of a parked black car in a garage.","[""-4"",""9"",""4"",""-6"",""1"",""5"",""-6"",""-7"",""1"",""3"",""9"",""-4"",""-3"",""9""]","html-vertical-slider-response","63d82a2cbe548c32ab88cf6a"
