"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""-4"",""10"",""10"",""-3"",""10"",""-7"",""-4"",""10"",""0"",""-7"",""10"",""-6"",""10"",""-2"",""3""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A refrigerator mostly empty with only a few bottles of water inside.","[""-3"",""10"",""-4"",""7"",""-6"",""8"",""-3"",""9"",""10"",""-5"",""7"",""10""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A heavily lit-up building in front of a river.","[""-6"",""-6"",""2"",""10"",""-7"",""-7"",""-6"",""-6"",""6""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A city skyline is shown with a subway train coming around the bend.","[""-8"",""5"",""9"",""-8"",""-8"",""-8"",""-8"",""10"",""10"",""4"",""8"",""-8"",""9""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""-8"",""10"",""10"",""1"",""-8"",""-8"",""10"",""-8"",""6"",""6"",""-8"",""8"",""4""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A tray topped with a chicken sandwich next to a cup of fries.","[""-8"",""1"",""1"",""-8"",""-8"",""8"",""10"",""-4"",""-8"",""-8"",""-8"",""-8"",""10""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A baby elephant walking through a shallow pool of flowing water.","[""-8"",""0"",""10"",""10"",""1"",""-8"",""4"",""1"",""-8"",""8"",""10""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"Several containers of food and beverages on a wooden table outdoors.","[""1"",""6"",""-8"",""10"",""-8"",""8"",""-1"",""-8"",""8"",""8"",""8""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"Some control buttons on an orange and silver electronic device.","[""0"",""3"",""10"",""-8"",""-8"",""2"",""-8"",""6"",""10"",""10""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A bird sits atop a wooden post and watches its surroundings.","[""-8"",""10"",""1"",""9"",""-8"",""10"",""8"",""-8"",""2"",""-6"",""-1""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"A person holding an object in front of a panda bear.","[""-8"",""2"",""0"",""-8"",""0"",""-8"",""2"",""-8"",""-8"",""10"",""10""]","html-vertical-slider-response","62b055bb62f69229f957be65"
"People are on the beach flying kites that look like arches in the sky.","[""-1"",""-8"",""-8"",""-8"",""10"",""7"",""10"",""-8"",""-2"",""-8"",""3"",""-8"",""-8"",""2""]","html-vertical-slider-response","62b055bb62f69229f957be65"
