"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""9"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A refrigerator mostly empty with only a few bottles of water inside.","[""10"",""10"",""10"",""10"",""10"",""10"",""7"",""10"",""5"",""9"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A heavily lit-up building in front of a river.","[""10"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A city skyline is shown with a subway train coming around the bend.","[""8"",""9"",""7"",""9"",""8"",""9"",""10"",""8"",""10"",""4"",""2"",""3"",""3""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A tray topped with a chicken sandwich next to a cup of fries.","[""10"",""10"",""9"",""9"",""10"",""8"",""9"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A baby elephant walking through a shallow pool of flowing water.","[""9"",""10"",""8"",""8"",""8"",""10"",""8"",""8"",""8"",""9"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"Several containers of food and beverages on a wooden table outdoors.","[""9"",""8"",""10"",""8"",""9"",""10"",""8"",""8"",""9"",""9"",""8""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"Some control buttons on an orange and silver electronic device.","[""10"",""9"",""9"",""10"",""9"",""9"",""10"",""10"",""9"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A bird sits atop a wooden post and watches its surroundings.","[""10"",""10"",""10"",""10"",""10"",""9"",""10"",""9"",""9"",""10"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"A person holding an object in front of a panda bear.","[""9"",""10"",""8"",""8"",""8"",""8"",""9"",""10"",""10"",""10"",""9""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
"People are on the beach flying kites that look like arches in the sky.","[""10"",""10"",""9"",""9"",""10"",""10"",""10"",""9"",""10"",""9"",""9"",""10"",""9"",""10""]","html-vertical-slider-response","6438ad28fbfa6706d301ebf6"
