"stimulus","response","trial_type","subject_id"
"A huge dragon kite flown with a steeple in the background.","[""4"",""5"",""1"",""7"",""5"",""4"",""3"",""3"",""5"",""5"",""2""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"The bench is in a shady area surrounded by plants.","[""0"",""7"",""0"",""0"",""1"",""4"",""0"",""0"",""0"",""7""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A dried black flower in a long, tall black and white vase.","[""0"",""1"",""0"",""2"",""0"",""0"",""4"",""2"",""5"",""0"",""2"",""4""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A man walking with an umbrella near a railing above a river.","[""-1"",""5"",""2"",""1"",""0"",""5"",""0"",""0"",""2"",""0"",""0"",""5""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A giraffe standing in front of a grassy plain and blue sky.","[""0"",""10"",""4"",""0"",""0"",""0"",""0"",""2"",""6"",""1"",""8"",""10""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"People watch from a large boat as a smaller boat is lowered into the ocean.","[""3"",""4"",""0"",""1"",""3"",""3"",""1"",""1"",""2"",""8"",""0"",""4"",""1"",""0"",""7""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A girl in an orange sweater is sitting on a skateboard.","[""0"",""4"",""0"",""0"",""6"",""4"",""0"",""4"",""0"",""0"",""7""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A woman in a white shirt standing in front of a fence smiling.","[""0"",""7"",""0"",""0"",""4"",""3"",""2"",""2"",""3"",""0"",""0"",""2"",""6""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A group of elephants being cleaned by their handlers in a river.","[""0"",""5"",""0"",""9"",""0"",""1"",""1"",""0"",""5"",""0"",""0"",""8""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"An outdoor market has a wide variety of fruit to choose from.","[""0"",""4"",""4"",""0"",""0"",""0"",""5"",""0"",""4"",""0"",""1"",""1""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A woman and man sit under a large blue umbrella on a grassy lot.","[""-1"",""5"",""0"",""5"",""9"",""7"",""1"",""6"",""7"",""8"",""0"",""1"",""7"",""1""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
"A vandalized stop sign in the dark with a sky background.","[""-1"",""2"",""8"",""9"",""1"",""1"",""8"",""0"",""1"",""3"",""0""]","html-vertical-slider-response","5cc22481f6ef910019e5120f"
