"stimulus","response","trial_type","subject_id"
"A huge dragon kite flown with a steeple in the background.","[""0"",""10"",""10"",""10"",""10"",""0"",""0"",""1"",""0"",""0"",""1""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"The bench is in a shady area surrounded by plants.","[""0"",""10"",""-1"",""0"",""0"",""10"",""10"",""5"",""0"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A dried black flower in a long, tall black and white vase.","[""1"",""10"",""10"",""10"",""-1"",""0"",""8"",""8"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A man walking with an umbrella near a railing above a river.","[""0"",""10"",""10"",""0"",""0"",""10"",""5"",""0"",""10"",""5"",""0"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A giraffe standing in front of a grassy plain and blue sky.","[""0"",""10"",""10"",""0"",""5"",""0"",""0"",""10"",""10"",""0"",""10"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"People watch from a large boat as a smaller boat is lowered into the ocean.","[""10"",""10"",""0"",""0"",""1"",""10"",""0"",""0"",""5"",""10"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A girl in an orange sweater is sitting on a skateboard.","[""1"",""10"",""0"",""0"",""10"",""10"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A woman in a white shirt standing in front of a fence smiling.","[""0"",""10"",""0"",""0"",""10"",""10"",""10"",""0"",""4"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A group of elephants being cleaned by their handlers in a river.","[""0"",""10"",""0"",""10"",""0"",""10"",""0"",""0"",""7"",""0"",""0"",""10""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"An outdoor market has a wide variety of fruit to choose from.","[""0"",""10"",""10"",""0"",""0"",""6"",""10"",""0"",""10"",""0"",""0"",""0""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A woman and man sit under a large blue umbrella on a grassy lot.","[""0"",""10"",""0"",""10"",""10"",""5"",""-1"",""10"",""10"",""10"",""0"",""0"",""10"",""2""]","html-vertical-slider-response","5f58d7941af44708223b94da"
"A vandalized stop sign in the dark with a sky background.","[""0"",""10"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""5"",""5""]","html-vertical-slider-response","5f58d7941af44708223b94da"
