"stimulus","response","trial_type","subject_id"
"A huge dragon kite flown with a steeple in the background.","[""2"",""8"",""9"",""10"",""10"",""2"",""0"",""10"",""1"",""2"",""8""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"The bench is in a shady area surrounded by plants.","[""2"",""10"",""5"",""4"",""1"",""10"",""7"",""3"",""4"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A dried black flower in a long, tall black and white vase.","[""2"",""7"",""10"",""10"",""6"",""2"",""10"",""10"",""10"",""5"",""10"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A man walking with an umbrella near a railing above a river.","[""2"",""10"",""10"",""3"",""2"",""10"",""7"",""1"",""10"",""7"",""1"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A giraffe standing in front of a grassy plain and blue sky.","[""3"",""10"",""10"",""2"",""5"",""2"",""1"",""10"",""6"",""4"",""10"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"People watch from a large boat as a smaller boat is lowered into the ocean.","[""10"",""10"",""2"",""0"",""2"",""10"",""2"",""2"",""8"",""10"",""2"",""10"",""4"",""0"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A girl in an orange sweater is sitting on a skateboard.","[""3"",""10"",""3"",""0"",""10"",""10"",""3"",""8"",""6"",""2"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A woman in a white shirt standing in front of a fence smiling.","[""2"",""10"",""2"",""0"",""10"",""10"",""3"",""1"",""6"",""2"",""3"",""10"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A group of elephants being cleaned by their handlers in a river.","[""1"",""10"",""1"",""10"",""2"",""6"",""1"",""2"",""10"",""3"",""1"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"An outdoor market has a wide variety of fruit to choose from.","[""2"",""10"",""10"",""3"",""3"",""10"",""10"",""2"",""10"",""3"",""-3"",""2""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A woman and man sit under a large blue umbrella on a grassy lot.","[""3"",""10"",""3"",""10"",""10"",""10"",""2"",""10"",""10"",""10"",""2"",""-2"",""10"",""6""]","html-vertical-slider-response","5aecad0e75deca000162634c"
"A vandalized stop sign in the dark with a sky background.","[""4"",""10"",""10"",""10"",""-3"",""-1"",""10"",""2"",""3"",""10"",""10""]","html-vertical-slider-response","5aecad0e75deca000162634c"
