"stimulus","response","trial_type","subject_id"
"A huge dragon kite flown with a steeple in the background.","[""0"",""0"",""4"",""7"",""9"",""0"",""0"",""7"",""0"",""0"",""3""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"The bench is in a shady area surrounded by plants.","[""0"",""10"",""0"",""0"",""0"",""7"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A dried black flower in a long, tall black and white vase.","[""0"",""0"",""4"",""3"",""0"",""0"",""4"",""4"",""4"",""0"",""4"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A man walking with an umbrella near a railing above a river.","[""0"",""10"",""4"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""1"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A giraffe standing in front of a grassy plain and blue sky.","[""0"",""10"",""10"",""0"",""0"",""0"",""1"",""10"",""8"",""0"",""6"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"People watch from a large boat as a smaller boat is lowered into the ocean.","[""10"",""10"",""0"",""0"",""6"",""10"",""0"",""0"",""9"",""10"",""0"",""3"",""0"",""0"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A girl in an orange sweater is sitting on a skateboard.","[""0"",""10"",""0"",""0"",""7"",""8"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A woman in a white shirt standing in front of a fence smiling.","[""1"",""10"",""0"",""0"",""8"",""10"",""10"",""0"",""6"",""0"",""0"",""9"",""9""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A group of elephants being cleaned by their handlers in a river.","[""0"",""10"",""0"",""10"",""0"",""4"",""0"",""0"",""4"",""0"",""0"",""6""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"An outdoor market has a wide variety of fruit to choose from.","[""0"",""10"",""8"",""0"",""0"",""5"",""5"",""0"",""10"",""0"",""1"",""0""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A woman and man sit under a large blue umbrella on a grassy lot.","[""0"",""10"",""0"",""10"",""10"",""5"",""0"",""6"",""8"",""8"",""2"",""0"",""9"",""9""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
"A vandalized stop sign in the dark with a sky background.","[""0"",""5"",""10"",""10"",""0"",""0"",""8"",""0"",""0"",""3"",""3""]","html-vertical-slider-response","5e3f778e91be661ca60e3540"
