"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""8"",""6"",""10"",""6"",""8"",""6"",""7"",""10"",""5"",""5"",""5"",""4"",""5"",""7"",""6""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A refrigerator mostly empty with only a few bottles of water inside.","[""5"",""10"",""10"",""9"",""9"",""8"",""6"",""6"",""4"",""6"",""5"",""9""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A heavily lit-up building in front of a river.","[""9"",""7"",""7"",""6"",""6"",""5"",""8"",""7"",""7""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A city skyline is shown with a subway train coming around the bend.","[""8"",""9"",""9"",""9"",""9"",""8"",""7"",""6"",""8"",""6"",""6"",""5"",""5""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""6"",""5"",""9"",""7"",""8"",""7"",""5"",""6"",""2"",""3"",""5"",""4"",""6""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A tray topped with a chicken sandwich next to a cup of fries.","[""5"",""6"",""5"",""3"",""5"",""5"",""4"",""4"",""3"",""3"",""5"",""5"",""7""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A baby elephant walking through a shallow pool of flowing water.","[""3"",""3"",""3"",""5"",""5"",""5"",""6"",""5"",""6"",""6"",""7""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"Several containers of food and beverages on a wooden table outdoors.","[""8"",""7"",""8"",""8"",""10"",""10"",""9"",""9"",""10"",""10"",""9""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"Some control buttons on an orange and silver electronic device.","[""3"",""4"",""2"",""2"",""3"",""4"",""4"",""4"",""6"",""5""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A bird sits atop a wooden post and watches its surroundings.","[""1"",""3"",""4"",""5"",""2"",""3"",""3"",""3"",""4"",""5"",""6""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"A person holding an object in front of a panda bear.","[""4"",""2"",""1"",""2"",""1"",""0"",""5"",""5"",""6"",""6"",""5""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
"People are on the beach flying kites that look like arches in the sky.","[""8"",""7"",""6"",""8"",""8"",""7"",""7"",""8"",""9"",""10"",""10"",""9"",""9"",""9""]","html-vertical-slider-response","6129ba3532102d5c539ff29b"
