"stimulus","response","trial_type","subject_id"
"A batter swinging a bat at a baseball with the catcher and umpire behind him.","[""-1"",""7"",""10"",""-2"",""10"",""3"",""-2"",""10"",""4"",""1"",""10"",""2"",""10"",""7"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A refrigerator mostly empty with only a few bottles of water inside.","[""2"",""10"",""2"",""9"",""2"",""-1"",""-3"",""0"",""10"",""2"",""6"",""2""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A heavily lit-up building in front of a river.","[""3"",""5"",""6"",""10"",""2"",""3"",""3"",""4"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A city skyline is shown with a subway train coming around the bend.","[""2"",""10"",""10"",""3"",""3"",""1"",""5"",""7"",""10"",""5"",""3"",""0"",""4""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A stop sign located at the intersection of East Village and Woodfield Rd.","[""3"",""4"",""10"",""6"",""5"",""4"",""7"",""4"",""8"",""9"",""5"",""9"",""9""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A tray topped with a chicken sandwich next to a cup of fries.","[""3"",""8"",""3"",""2"",""5"",""8"",""9"",""3"",""6"",""4"",""7"",""2"",""7""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A baby elephant walking through a shallow pool of flowing water.","[""2"",""5"",""10"",""3"",""6"",""7"",""3"",""9"",""3"",""2"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"Several containers of food and beverages on a wooden table outdoors.","[""3"",""9"",""2"",""10"",""3"",""8"",""2"",""3"",""2"",""10"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"Some control buttons on an orange and silver electronic device.","[""-2"",""4"",""8"",""1"",""3"",""4"",""1"",""4"",""10"",""8""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A bird sits atop a wooden post and watches its surroundings.","[""2"",""10"",""5"",""4"",""3"",""6"",""9"",""2"",""6"",""2"",""6""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"A person holding an object in front of a panda bear.","[""3"",""8"",""1"",""2"",""6"",""0"",""2"",""2"",""-1"",""8"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
"People are on the beach flying kites that look like arches in the sky.","[""3"",""4"",""3"",""5"",""10"",""3"",""8"",""1"",""4"",""-2"",""7"",""1"",""3"",""10""]","html-vertical-slider-response","63474e67a5fd298c6103c409"
